0,1
NSE: ALBERTDAVD,Albert David Limited
NSE: ALCHEM,Alchemist Limited
NSE: ALEMBICLTD,Alembic Limited
NSE: APLLTD,Alembic Pharmaceuticals Limited
NSE: ALICON,Alicon Castalloy Limited
NSE: ALKALI,Alkali Metals Limited
NSE: ALKEM,Alkem Laboratories Limited
NSE: ALKYLAMINE,Alkyl Amines Chemicals Limited
NSE: ALLCARGO,Allcargo Logistics Limited
NSE: ADSL,Allied Digital Services Limited
NSE: ALLSEC,Allsec Technologies Limited
NSE: ALMONDZ,Almondz Global Securities Limited
NSE: ALOKINDS,Alok Industries Limited
NSE: ALPA,Alpa Laboratories Limited
NSE: ALPHAGEO,Alphageo (India) Limited
NSE: ALPSINDUS,Alps Industries Limited
NSE: AMARAJABAT,Amara Raja Batteries Limited
NSE: AMBANIORG,Ambani Organics Limited
NSE: AMBER,Amber Enterprises India Limited
NSE: AMBIKCO,Ambika Cotton Mills Limited
NSE: AMBUJACEM,Ambuja Cements Limited
NSE: AMDIND,AMD Industries Limited
NSE: ASIL,Amit Spinning Industries Limited
NSE: AMJLAND,Amj Land Holdings Limited
NSE: AMRUTANJAN,Amrutanjan Health Care Limited
NSE: ANANTRAJ,Anant Raj Limited
NSE: ANDHRACEMT,Andhra Cements Limited
NSE: ANDHRAPAP,Andhra Paper Limited
NSE: ANGELBRKG,Angel Broking Limited
NSE: AISL,ANI Integrated Services Limited
NSE: ANIKINDS,Anik Industries Limited
NSE: APCL,Anjani Portland Cement Limited
NSE: ANKITMETAL,Ankit Metal & Power Limited
NSE: ANSALHSG,Ansal Housing Limited
NSE: ANSALAPI,Ansal Properties & Infrastructure Limited
NSE: APARINDS,Apar Industries Limited
NSE: APCOTEXIND,Apcotex Industries Limited
NSE: APEX,Apex Frozen Foods Limited
NSE: APLAPOLLO,APL Apollo Tubes Limited
NSE: APOLLOHOSP,Apollo Hospitals Enterprise Limited
NSE: APOLLO,Apollo Micro Systems Limited
NSE: APOLLOPIPE,Apollo Pipes Limited
NSE: APOLSINHOT,Apollo Sindoori Hotels Limited
NSE: APOLLOTYRE,Apollo Tyres Limited
NSE: APTECHT,Aptech Limited
NSE: ARCHIDPLY,Archidply Industries Limited
NSE: ARCHIES,Archies Limited
NSE: ARCOTECH,Arcotech Limited
NSE: ARIES,Aries Agro Limited
NSE: ARIHANT,Arihant Foundations & Housing Limited
NSE: ARIHANTSUP,Arihant Superstructures Limited
NSE: ARMANFIN,Arman Financial Services Limited
NSE: AROGRANITE,Aro Granite Industries Limited
NSE: ARROWGREEN,Arrow Greentech Limited
NSE: ARSHIYA,Arshiya Limited
NSE: ARSSINFRA,ARSS Infrastructure Projects Limited
NSE: ARTNIRMAN,Art Nirman Limited
NSE: ARTEDZ,Artedz Fabs Limited
NSE: ARTEMISMED,Artemis Medicare Services Limited
NSE: ARVEE,Arvee Laboratories (India) Limited
NSE: ARVINDFASN,Arvind Fashions Limited
NSE: ARVIND,Arvind Limited
NSE: ARVSMART,Arvind SmartSpaces Limited
NSE: ASAHIINDIA,Asahi India Glass Limited
NSE: ASAHISONG,Asahi Songwon Colors Limited
NSE: ASCOM,Ascom Leasing & Investments Limited
NSE: ASHAPURMIN,Ashapura Minechem Limited
NSE: ASHIANA,Ashiana Housing Limited
NSE: ASHIMASYN,Ashima Limited
NSE: ASHOKLEY,Ashok Leyland Limited
NSE: ASHOKA,Ashoka Buildcon Limited
NSE: ASIANTILES,Asian Granito India Limited
NSE: AHLEAST,Asian Hotels (East) Limited
NSE: ASIANHOTNR,Asian Hotels (North) Limited
NSE: AHLWEST,Asian Hotels (West) Limited
NSE: ASIANPAINT,Asian Paints Limited
NSE: ASLIND,ASL Industries Limited
NSE: ASPINWALL,Aspinwall and Company Limited
NSE: ASALCBR,Associated Alcohols & Breweries Ltd.
NSE: ASTEC,Astec LifeSciences Limited
NSE: ASTERDM,Aster DM Healthcare Limited
NSE: ASTRAMICRO,Astra Microwave Products Limited
NSE: ASTRAL,Astral Limited
NSE: ASTRAZEN,AstraZeneca Pharma India Limited
NSE: ASTRON,Astron Paper & Board Mill Limited
NSE: ATLANTA,Atlanta Limited
NSE: ATLASCYCLE,Atlas Cycles (Haryana) Limited
NSE: ATNINTER,ATN International Limited
NSE: ATULAUTO,Atul Auto Limited
NSE: ATUL,Atul Limited
NSE: AUBANK,AU Small Finance Bank Limited
NSE: AURDIS,Aurangabad Distillery Limited
NSE: Aurionpro,Aurionpro Solutions Limited
NSE: AUROPHARMA,Aurobindo Pharma Limited
NSE: AUSOMENT,Ausom Enterprise Limited
NSE: AUTOIND,Autoline Industries Limited
NSE: AUTOLITIND,Autolite (India) Limited
NSE: AUTOAXLES,Automotive Axles Limited
NSE: ASAL,Automotive Stampings and Assemblies Limited
NSE: AVADHSUGAR,Avadh Sugar & Energy Limited
NSE: AVANTIFEED,Avanti Feeds Limited
NSE: AVENTUS,Aventus Buildcon Limited
NSE: DMART,Avenue Supermarts Limited
NSE: AVG,AVG Logistics Limited
NSE: AVROIND,Avro India Limited
NSE: AVSL,AVSL Industries Limited
NSE: AVTNPL,AVT Natural Products Limited
NSE: AXISBANK,Axis Bank Limited
NSE: AXISCADES,AXISCADES Engineering Technologies Limited
NSE: AYMSYNTEX,AYM Syntex Limited
NSE: BBTCL,B&B Triplewall Containers Limited
NSE: BLKASHYAP,B. L. Kashyap and Sons Limited
NSE: BAGFILMS,B.A.G Films and Media Limited
NSE: BABAFOOD,Baba Agro Food Limited
NSE: BAFNAPH,Bafna Pharmaceuticals Limited
NSE: BAJAJ-AUTO,Bajaj Auto Limited
NSE: BAJAJCON,Bajaj Consumer Care Limited
NSE: BAJAJELEC,Bajaj Electricals Limited
NSE: BAJFINANCE,Bajaj Finance Limited
NSE: BAJAJFINSV,Bajaj Finserv Limited
NSE: BAJAJHIND,Bajaj Hindusthan Sugar Limited
NSE: BAJAJHLDNG,Bajaj Holdings & Investment Limited
NSE: BALPHARMA,Bal Pharma Limited
NSE: BALAMINES,Balaji Amines Limited
NSE: BALAJITELE,Balaji Telefilms Limited
NSE: BALAXI,Balaxi Ventures Limited
NSE: BALKRISIND,Balkrishna Industries Limited
NSE: BALKRISHNA,Balkrishna Paper Mills Limited
NSE: BALLARPUR,Ballarpur Industries Limited
NSE: BALMLAWRIE,Balmer Lawrie & Company Limited
NSE: BALRAMCHIN,Balrampur Chini Mills Limited
NSE: BANARBEADS,Banaras Beads Limited
NSE: BANCOINDIA,Banco Products (I) Limited
NSE: BANDHANBNK,Bandhan Bank Limited
NSE: BANG,Bang Overseas Limited
NSE: BANKBARODA,Bank of Baroda
NSE: BANKINDIA,Bank of India
NSE: MAHABANK,Bank of Maharashtra
NSE: BANKA,Banka BioLoo Limited
NSE: BASML,Bannari Amman Spinning Mills Limited
NSE: BANARISUG,Bannari Amman Sugars Limited
NSE: BANSWRAS,Banswara Syntex Limited
NSE: BVCL,Barak Valley Cements Limited
NSE: BARTRONICS,Bartronics India Limited
NSE: BASF,BASF India Limited
NSE: BATAINDIA,Bata India Limited
NSE: BDR,BDR Buildcon Limited
NSE: BEARDSELL,Beardsell Limited
NSE: BEDMUTHA,Bedmutha Industries Limited
NSE: BEML,BEML Limited
NSE: BERGEPAINT,Berger Paints (I) Limited
NSE: BETA,Beta Drugs Limited
NSE: BFINVEST,BF Investment Limited
NSE: BFUTILITIE,BF Utilities Limited
NSE: BGRENERGY,BGR Energy Systems Limited
NSE: BHAGERIA,Bhageria Industries Limited
NSE: BHAGYANGR,Bhagyanagar India Limited
NSE: BHAGYAPROP,Bhagyanagar Properties Limited
NSE: BHALCHANDR,Bhalchandram Clothing Limited
NSE: BHANDARI,Bhandari Hosiery Exports Limited
NSE: BEPL,Bhansali Engineering Polymers Limited
NSE: BBL,Bharat Bijlee Limited
NSE: BDL,Bharat Dynamics Limited
NSE: BEL,Bharat Electronics Limited
NSE: BHARATFORG,Bharat Forge Limited
NSE: BHARATGEAR,Bharat Gears Limited
NSE: BHEL,Bharat Heavy Electricals Limited
NSE: BPCL,Bharat Petroleum Corporation Limited
NSE: BHARATRAS,Bharat Rasayan Limited
NSE: BRNL,Bharat Road Network Limited
NSE: BHARATWIRE,Bharat Wire Ropes Limited
NSE: BHARTIARTL,Bharti Airtel Limited
NSE: INFRATEL,Bharti Infratel Limited
NSE: BIL,Bhartiya International Limited
NSE: BIGBLOC,Bigbloc Construction Limited
NSE: BILENERGY,Bil Energy Systems Limited
NSE: BIOCON,Biocon Limited
NSE: BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
NSE: BIRLACABLE,Birla Cable Limited
NSE: BIRLACORPN,Birla Corporation Limited
NSE: BIRLATYRE,Birla Tyres Limited
NSE: BSOFT,Birlasoft Limited
NSE: BKMINDST,Bkm Industries Limited
NSE: BLBLIMITED,BLB Limited
NSE: BLISSGVS,Bliss GVS Pharma Limited
NSE: BLS,BLS International Services Limited
NSE: BLUECHIP,Blue Chip India Limited
NSE: BLUECOAST,Blue Coast Hotels Limited
NSE: BLUEDART,Blue Dart Express Limited
NSE: BLUESTARCO,Blue Star Limited
NSE: BODALCHEM,Bodal Chemicals Limited
NSE: BOHRA,Bohra Industries Limited
NSE: BBTC,Bombay Burmah Trading Corporation Limited
NSE: BOMDYEING,Bombay Dyeing & Mfg Company Limited
NSE: BRFL,Bombay Rayon Fashions Limited
NSE: BSHSL,Bombay Super Hybrid Seeds Limited
NSE: BORORENEW,Borosil Renewables Limited
NSE: BOSCHLTD,Bosch Limited
NSE: BPL,BPL Limited
NSE: BCONCEPTS,Brand Concepts Limited
NSE: BRIGADE,Brigade Enterprises Limited
NSE: BRIGHT,Bright Solar Limited
NSE: BCG,Brightcom Group Limited
NSE: BRITANNIA,Britannia Industries Limited
NSE: BROOKS,Brooks Laboratories Limited
NSE: BSE,BSE Limited
NSE: BSELINFRA,BSEL Infrastructure Realty Limited
NSE: BSL,BSL Limited
NSE: BURNPUR,Burnpur Cement Limited
NSE: BUTTERFLY,Butterfly Gandhimathi Appliances Limited
NSE: BSD,Best Stock Advisory
NSE: CANDC,C & C Constructions Limited
NSE: CADILAHC,Cadila Healthcare Limited
NSE: CADSYS,Cadsys (India) Limited
NSE: CALSOFT,California Software Company Limited
NSE: CTE,Cambridge Technology Enterprises Limited
NSE: CAMLINFINE,Camlin Fine Sciences Limited
NSE: CANFINHOME,Can Fin Homes Limited
NSE: CANBK,Canara Bank
NSE: CANTABIL,Cantabil Retail India Limited
NSE: CAPACITE,Capacit'e Infraprojects Limited
NSE: CAPTRUST,Capital Trust Limited
NSE: CAPLIPOINT,Caplin Point Laboratories Limited
NSE: CGCL,Capri Global Capital Limited
NSE: CARBORUNIV,Carborundum Universal Limited
NSE: CARERATING,CARE Ratings Limited
NSE: CAREERP,Career Point Limited
NSE: CASTEXTECH,Castex Technologies Limited
NSE: CASTROLIND,Castrol India Limited
NSE: CCL,CCL Products (India) Limited
NSE: CEATLTD,CEAT Limited
NSE: CELEBRITY,Celebrity Fashions Limited
NSE: CENTRALBK,Central Bank of India
NSE: CDSL,Central Depository Services (India) Limited
NSE: CENTRUM,Centrum Capital Limited
NSE: CENTUM,Centum Electronics Limited
NSE: CENTENKA,Century Enka Limited
NSE: CENTEXT,Century Extrusions Limited
NSE: CENTURYPLY,Century Plyboards (India) Limited
NSE: CENTURYTEX,Century Textiles & Industries Limited
NSE: CERA,Cera Sanitaryware Limited
NSE: CEREBRAINT,Cerebra Integrated Technologies Limited
NSE: CESC,CESC Limited
NSE: CESCVENT,CESC Ventures Limited
NSE: CGPOWER,CG Power and Industrial Solutions Limited
NSE: CHALET,Chalet Hotels Limited
NSE: CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
NSE: CHEMBOND,Chembond Chemicals Ltd
NSE: CHEMCON,Chemcon Speciality Chemicals Limited
NSE: CHEMFAB,Chemfab Alkalis Limited
NSE: CHENNPETRO,Chennai Petroleum Corporation Limited
NSE: CHOLAHLDNG,Cholamandalam Financial Holdings Limited
NSE: CHOLAFIN,Cholamandalam Investment and Finance Company Limited
NSE: CHROMATIC,Chromatic India Limited
NSE: CIGNITITEC,Cigniti Technologies Limited
NSE: CNOVAPETRO,CIL Nova Petrochemicals Limited
NSE: CIMMCO,Cimmco Limited
NSE: CINELINE,Cineline India Limited
NSE: CINEVISTA,Cinevista Limited
NSE: CIPLA,Cipla Limited
NSE: CUB,City Union Bank Limited
NSE: CKPLEISURE,CKP Leisure Limited
NSE: CKPPRODUCT,CKP Products Limited
NSE: CLEDUCATE,CL Educate Limited
NSE: CLNINDIA,Clariant Chemicals (India) Limited
NSE: CMICABLES,CMI Limited
NSE: CMMIPL,CMM Infraprojects Limited
NSE: COALINDIA,Coal India Limited
NSE: COCHINSHIP,Cochin Shipyard Limited
NSE: COFORGE,Coforge Limited
NSE: COLPAL,Colgate Palmolive (India) Limited
NSE: CEBBCO,Commercial Engineers & Body Builders Co Limited
NSE: COMPINFO,Compuage Infocom Limited
NSE: COMPUSOFT,Compucom Software Limited
NSE: CAMS,Computer Age Management Services Limited
NSE: CONFIPET,Confidence Petroleum India Limited
NSE: CCCL,Consolidated Construction Consortium Limited
NSE: CONSOFINVT,Consolidated Finvest & Holdings Limited
NSE: CONCOR,Container Corporation of India Limited
NSE: CONTI,Continental Seeds and Chemicals Limited
NSE: CONTROLPR,Control Print Limited
NSE: CORALFINAC,Coral India Finance & Housing Limited
NSE: CORDSCABLE,Cords Cable Industries Limited
NSE: COROMANDEL,Coromandel International Limited
NSE: COSMOFILMS,Cosmo Films Limited
NSE: CCHHL,Country Club Hospitality & Holidays Limited
NSE: COUNCODOS,Country Condo's Limited
NSE: CKFSL,Cox & Kings Financial Service Limited
NSE: COX&KINGS,Cox & Kings Limited
NSE: CREATIVEYE,Creative Eye Limited
NSE: CREATIVE,Creative Peripherals and Distribution Limited
NSE: CREDITACC,CreditAccess Grameen Limited
NSE: CREST,Crest Ventures Limited
NSE: CRISIL,CRISIL Limited
NSE: CROMPTON,Crompton Greaves Consumer Electricals Limited
NSE: CROWN,Crown Lifters Limited
NSE: CSBBANK,CSB Bank Limited
NSE: CUBEXTUB,Cubex Tubings Limited
NSE: CUMMINSIND,Cummins India Limited
NSE: CUPID,Cupid Limited
NSE: CYBERTECH,Cybertech Systems And Software Limited
NSE: CYIENT,Cyient Limited
NSE: DBREALTY,D B Realty Limited
NSE: DPWIRES,D P Wires Limited
NSE: DPABHUSHAN,D. P. Abhushan Limited
NSE: DBCORP,D.B.Corp Limited
NSE: DABUR,Dabur India Limited
NSE: DALBHARAT,Dalmia Bharat Limited
NSE: DALMIASUG,Dalmia Bharat Sugar and Industries Limited
NSE: DAMODARIND,Damodar Industries Limited
NSE: DANGEE,Dangee Dums Limited
NSE: DATAMATICS,Datamatics Global Services Limited
NSE: DBSTOCKBRO,DB (International) Stock Brokers Limited
NSE: DCI,DC Infotech and Communication Limited
NSE: DCBBANK,DCB Bank Limited
NSE: DCM,DCM Limited
NSE: DCMFINSERV,DCM Financial Services Limited
NSE: DCMNVL,DCM Nouvelle Limited
NSE: DCMSHRIRAM,DCM Shriram Limited
NSE: DCW,DCW Limited
NSE: DENORA,De Nora India Limited
NSE: DSML,Debock Sales And Marketing Limited
NSE: DECCANCE,Deccan Cements Limited
NSE: DEEPIND,Deep Industries Limited
NSE: DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
NSE: DEEPAKNTR,Deepak Nitrite Limited
NSE: DELTACORP,Delta Corp Limited
NSE: DELTAMAGNT,Delta Manufacturing Limited
NSE: DEN,Den Networks Limited
NSE: DEVIT,Dev Information Technology Limited
NSE: DHFL,Dewan Housing Finance Corporation Limited
NSE: DFMFOODS,DFM Foods Limited
NSE: DHAMPURSUG,Dhampur Sugar Mills Limited
NSE: DHANBANK,Dhanlaxmi Bank Limited
NSE: DHANUKA,Dhanuka Agritech Limited
NSE: DRL,Dhanuka Realty Limited
NSE: DHARSUGAR,Dharani Sugars & Chemicals Limited
NSE: DHUNINV,Dhunseri Investments Limited
NSE: DTIL,Dhunseri Tea & Industries Limited
NSE: DVL,Dhunseri Ventures Limited
NSE: DIAPOWER,Diamond Power Infra Ltd
NSE: DICIND,DIC India Limited
NSE: DGCONTENT,Digicontent Limited
NSE: DIGISPICE,DiGiSPICE Technologies Limited
NSE: DIGJAMLTD,Digjam Limited
NSE: DNAMEDIA,Diligent Media Corporation Limited
NSE: DBL,Dilip Buildcon Limited
NSE: DISHTV,Dish TV India Limited
NSE: DCAL,Dishman Carbogen Amcis Limited
NSE: DIVISLAB,Divi's Laboratories Limited
NSE: DIXON,Dixon Technologies (India) Limited
NSE: DLF,DLF Limited
NSE: DLINKINDIA,D-Link (India) Limited
NSE: DOLLAR,Dollar Industries Limited
NSE: DONEAR,Donear Industries Limited
NSE: DPSCLTD,DPSC Limited
NSE: DQE,DQ Entertainment (International) Limited
NSE: LALPATHLAB,Dr. Lal Path Labs Ltd.
NSE: DRREDDY,Dr. Reddy's Laboratories Limited
NSE: DREDGECORP,Dredging Corporation of India Limited
NSE: DRSDILIP,DRS Dilip Roadlines Limited
NSE: DUCON,Ducon Infratechnologies Limited
NSE: DWARKESH,Dwarikesh Sugar Industries Limited
NSE: DSSL,Dynacons Systems & Solutions Limited
NSE: DYNAMATECH,Dynamatic Technologies Limited
NSE: DYNPRO,Dynemic Products Limited
NSE: E2E,E2E Networks Limited
NSE: EASTSILK,Eastern Silk Industries Limited
NSE: EASUNREYRL,Easun Reyrolle Limited
NSE: EBIXFOREX,EbixCash World Money Limited
NSE: ECLERX,eClerx Services Limited
NSE: EDELWEISS,Edelweiss Financial Services Limited
NSE: EDUCOMP,Educomp Solutions Limited
NSE: EICHERMOT,Eicher Motors Limited
NSE: EIDPARRY,EID Parry India Limited
NSE: EIHAHOTELS,EIH Associated Hotels Limited
NSE: EIHOTEL,EIH Limited
NSE: EIMCOELECO,Eimco Elecon (India) Limited
NSE: ELECON,Elecon Engineering Company Limited
NSE: ELECTCAST,Electrosteel Castings Limited
NSE: ELECTHERM,Electrotherm (India) Limited
NSE: ELGIEQUIP,Elgi Equipments Limited
NSE: ELGIRUBCO,Elgi Rubber Company Limited
NSE: EMAMILTD,Emami Limited
NSE: EMAMIPAP,Emami Paper Mills Limited
NSE: EMAMIREAL,Emami Realty Limited
NSE: EMCO,Emco Limited
NSE: EMKAY,Emkay Global Financial Services Limited
NSE: EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
NSE: EMIL,Electronics Mart India Limited
NSE: EMMBI,Emmbi Industries Limited
NSE: EDL,Empee Distilleries Limited
NSE: ENDURANCE,Endurance Technologies Limited
NSE: ENERGYDEV,Energy Development Company Limited
NSE: ENGINERSIN,Engineers India Limited
NSE: ENIL,Entertainment Network (India) Limited
NSE: EON,Eon Electric Limited
NSE: EQUITAS,Equitas Holdings Limited
NSE: EQUITASBNK,Equitas Small Finance Bank Limited
NSE: ERIS,Eris Lifesciences Limited
NSE: EROSMEDIA,Eros International Media Limited
NSE: ESABINDIA,Esab India Limited
NSE: ESCORTS,Escorts Limited
NSE: ESSARSHPNG,Essar Shipping Limited
NSE: ESSELPACK,Essel Propack Limited
NSE: ESTER,Ester Industries Limited
NSE: EUROCERA,Euro Ceramics Limited
NSE: EIFFL,Euro India Fresh Foods Limited
NSE: EUROMULTI,Euro Multivision Limited
NSE: EUROTEXIND,Eurotex Industries and Exports Limited
NSE: EVEREADY,Eveready Industries India Limited
NSE: EVERESTIND,Everest Industries Limited
NSE: EKC,Everest Kanto Cylinder Limited
NSE: EXCELINDUS,Excel Industries Limited
NSE: EXCEL,Excel Realty N Infra Limited
NSE: EXIDEIND,Exide Industries Limited
NSE: EXPLEOSOL,Expleo Solutions Limited
NSE: FAIRCHEM,Fairchem Speciality Limited
NSE: FCSSOFT,FCS Software Solutions Limited
NSE: FDC,FDC Limited
NSE: FMGOETZE,Federal-Mogul Goetze (India) Limited
NSE: FELIX,Felix Industries Limited
NSE: FACT,Fertilizers and Chemicals Travancore Limited
NSE: FIEMIND,Fiem Industries Limited
NSE: FILATEX,Filatex India Limited
NSE: FINEORG,Fine Organic Industries Limited
NSE: FCL,Fineotex Chemical Limited
NSE: FINCABLES,Finolex Cables Limited
NSE: FINPIPE,Finolex Industries Limited
NSE: FSL,Firstsource Solutions Limited
NSE: FLEXITUFF,Flexituff Ventures International Limited
NSE: FOCUS,Focus Lighting and Fixtures Limited
NSE: FORTIS,Fortis Healthcare Limited
NSE: FOSECOIND,Foseco India Limited
NSE: FOURTHDIM,Fourth Dimension Solutions Limited
NSE: FCONSUMER,Future Consumer Limited
NSE: FEL,Future Enterprises Limited
NSE: FLFL,Future Lifestyle Fashions Limited
NSE: FMNL,Future Market Networks Limited
NSE: FRETAIL,Future Retail Limited
NSE: FSC,Future Supply Chain Solutions Limited
NSE: GABRIEL,Gabriel India Limited
NSE: GAIL,GAIL (India) Limited
NSE: GALAXYSURF,Galaxy Surfactants Limited
NSE: GALLISPAT,Gallantt Ispat Limited
NSE: GALLANTT,Gallantt Metal Limited
NSE: GAMMNINFRA,Gammon Infrastructure Projects Limited
NSE: GANDHITUBE,Gandhi Special Tubes Limited
NSE: GANESHHOUC,Ganesh Housing Corporation Limited
NSE: GANECOS,Ganesha Ecosphere Limited
NSE: GANGAFORGE,Ganga Forging Limited
NSE: GANGESSECU,Ganges Securities Limited
NSE: GRSE,Garden Reach Shipbuilders & Engineers Limited
NSE: GARDENSILK,Garden Silk Mills Limited
NSE: GARFIBRES,Garware Technical Fibres Limited
NSE: GATEWAY,Gateway Distriparks Limited
NSE: GATI,GATI Limited
NSE: GAYAHWS,Gayatri Highways Limited
NSE: GAYAPROJ,Gayatri Projects Limited
NSE: GBGLOBAL,GB Global Limited
NSE: GEPIL,GE Power India Limited
NSE: GET&D,GE T&D India Limited
NSE: GEECEE,GeeCee Ventures Limited
NSE: GEEKAYWIRE,Geekay Wires Limited
NSE: GICRE,General Insurance Corporation of India
NSE: GENESYS,Genesys International Corporation Limited
NSE: GENUSPAPER,Genus Paper & Boards Limited
NSE: GENUSPOWER,Genus Power Infrastructures Limited
NSE: GEOJITFSL,Geojit Financial Services Limited
NSE: GFLLIMITED,GFL Limited
NSE: GHCL,GHCL Limited
NSE: GISOLUTION,GI Engineering Solutions Limited
NSE: GICHSGFIN,GIC Housing Finance Limited
NSE: GILLANDERS,Gillanders Arbuthnot & Company Limited
NSE: GILLETTE,Gillette India Limited
NSE: GINNIFILA,Ginni Filaments Limited
NSE: GIRRESORTS,GIR Natureview Resorts Limited
NSE: GKWLIMITED,GKW Limited
NSE: GLAND,Gland Pharma Limited
NSE: GSKCONS,GlaxoSmithKline Consumer Healthcare Limited
NSE: GLAXO,GlaxoSmithKline Pharmaceuticals Limited
NSE: GLENMARK,Glenmark Pharmaceuticals Limited
NSE: GLOBAL,Global Education Limited
NSE: GLOBOFFS,Global Offshore Services Limited
NSE: GLOBALVECT,Global Vectra Helicorp Limited
NSE: GICL,Globe International Carriers Limited
NSE: GLOBE,Globe Textiles (India) Limited
NSE: GLOBUSSPR,Globus Spirits Limited
NSE: GMBREW,GM Breweries Limited
NSE: GMMPFAUDLR,GMM Pfaudler Limited
NSE: GMRINFRA,GMR Infrastructure Limited
NSE: GNA,GNA Axles Limited
NSE: GOACARBON,Goa Carbon Limited
NSE: GOCLCORP,GOCL Corporation Limited
NSE: GPIL,Godawari Power And Ispat limited
NSE: GODFRYPHLP,Godfrey Phillips India Limited
NSE: GODHA,Godha Cabcon & Insulation Limited
NSE: GODREJAGRO,Godrej Agrovet Limited
NSE: GODREJCP,Godrej Consumer Products Limited
NSE: GODREJIND,Godrej Industries Limited
NSE: GODREJPROP,Godrej Properties Limited
NSE: GOENKA,Goenka Diamond and Jewels Limited
NSE: GOKEX,Gokaldas Exports Limited
NSE: GOKULAGRO,Gokul Agro Resources Limited
NSE: GOKUL,Gokul Refoils and Solvent Limited
NSE: GOLDENTOBC,Golden Tobacco Limited
NSE: GOLDIAM,Goldiam International Limited
NSE: GOLDSTAR,Goldstar Power Limited
NSE: GOLDTECH,Goldstone Technologies Limited
NSE: GOODLUCK,Goodluck India Limited
NSE: GULFPETRO,GP Petroleums Limited
NSE: GPTINFRA,GPT Infraprojects Limited
NSE: GFSTEELS,Grand Foundry Limited
NSE: GRANULES,Granules India Limited
NSE: GRAPHITE,Graphite India Limited
NSE: GRASIM,Grasim Industries Limited
NSE: GRAVITA,Gravita India Limited
NSE: GREAVESCOT,Greaves Cotton Limited
NSE: GREENLAM,Greenlam Industries Limited
NSE: GREENPANEL,Greenpanel Industries Limited
